Unit #TD000727C;1.090000;0.570000;0.565000
Unit #PN001190C;1.093000;0.512000;0.507000
Unit #XF001543C;1.094000;0.754000;0.745000
Unit #NL000474B;1.095000;0.771000;0.764000
Unit #XC000879C;1.101000;1.066000;1.056000
Unit #TX001643O;1.103000;0.970000;0.961000
Unit #ZR000106J;1.107000;0.981000;0.971000
Unit #FM000929M;1.108000;0.710000;0.702000
Unit #NP000118D;1.108000;1.005000;0.994000
Unit #IA001476Z;1.109000;0.618000;0.611000
Unit #CD001065G;1.110000;0.952000;0.942000
Unit #TE000412M;1.110000;0.910000;0.900000
Unit #NR001623M;1.111000;0.583000;0.577000
Unit #BW000132E;1.114000;0.460000;0.455000
Unit #LV001122V;1.114000;0.659000;0.652000
Unit #QF001503F;1.118000;0.869000;0.860000
Unit #DP000332Z;1.119000;0.547000;0.541000
Unit #PL001456G;1.120000;0.656000;0.649000
Unit #QT001339W;1.121000;0.464000;0.458000
Unit #PI001593S;1.126000;0.883000;0.873000
Unit #AA001003J;1.127000;0.668000;0.662000
Unit #BE000912S;1.127000;1.069000;1.059000
Unit #FH000374D;1.129000;0.482000;0.478000
Unit #XV001151O;1.129000;1.092000;1.082000
Unit #OK001105S;1.130000;0.965000;0.956000
Unit #ZU000451S;1.130000;0.969000;0.959000
Unit #ES000188J;1.132000;0.612000;0.605000
Unit #FK000409U;1.134000;0.848000;0.839000
Unit #GE000930R;1.134000;0.946000;0.937000
Unit #NX000445R;1.136000;0.904000;0.896000
Unit #LV000437A;1.138000;0.905000;0.897000
Unit #XJ000387Y;1.138000;0.665000;0.658000
Unit #VD000461I;1.139000;1.045000;1.035000
Unit #AB001036S;1.141000;0.505000;0.500000
Unit #DN000508V;1.141000;1.013000;1.004000
Unit #TM001229F;1.141000;0.654000;0.648000
Unit #MV000182D;1.143000;0.845000;0.837000
Unit #HT001241U;1.145000;1.111000;1.099000
Unit #FL000845S;1.146000;1.110000;1.100000
Unit #WT000711Z;1.146000;0.563000;0.557000
Unit #CG000576J;1.149000;1.119000;1.109000
Unit #HN000465H;1.149000;0.980000;0.969000
Unit #FX000057Y;1.150000;0.502000;0.497000
Unit #DA000814B;1.151000;0.558000;0.553000
Unit #ZE000363O;1.160000;1.084000;1.074000
Unit #BL001043G;1.161000;0.633000;0.627000
Unit #MF000885J;1.163000;0.699000;0.691000
Unit #QA000620S;1.164000;0.594000;0.587000
Unit #DP001451I;1.168000;0.837000;0.828000
Unit #EV000530P;1.169000;0.924000;0.916000
Unit #SM001469M;1.169000;0.618000;0.612000
Unit #TS001508U;1.169000;0.710000;0.702000
Unit #CO000959U;1.170000;0.517000;0.511000
Unit #BY000348Q;1.173000;0.942000;0.933000
Unit #AY000837E;1.174000;0.597000;0.591000
Unit #YR000568V;1.174000;0.570000;0.563000
Unit #YH000870X;1.182000;1.167000;1.154000
Unit #GM001522Z;1.184000;0.666000;0.659000
Unit #VN000081Z;1.187000;0.636000;0.629000
Unit #KU001601S;1.189000;0.727000;0.719000
Unit #MK000888W;1.189000;0.931000;0.921000
Unit #TP001574J;1.190000;0.754000;0.746000
Unit #BE000209Y;1.194000;1.151000;1.138000
Unit #UU001317D;1.195000;1.189000;1.179000
Unit #DS000779V;1.197000;1.004000;0.993000
Unit #RC000824C;1.198000;0.608000;0.601000
Unit #UD000492R;1.205000;0.937000;0.927000
Unit #DF001167G;1.207000;0.601000;0.595000
Unit #HW000333S;1.209000;0.547000;0.542000
Unit #JD000146U;1.209000;1.136000;1.125000
Unit #II001355X;1.210000;1.104000;1.092000
Unit #HP001017N;1.211000;1.119000;1.109000
Unit #TH001563S;1.211000;1.026000;1.016000
Unit #QE001302X;1.214000;1.021000;1.009000
Unit #NN000546N;1.215000;0.520000;0.515000
Unit #FE001519E;1.219000;1.083000;1.074000
Unit #AL000019U;1.220000;0.626000;0.619000
Unit #FU000154C;1.220000;1.165000;1.153000
Unit #ES001604O;1.223000;1.064000;1.054000
Unit #SE000413G;1.223000;0.686000;0.678000
Unit #KD000117N;1.229000;0.510000;0.504000
Unit #GK001397E;1.232000;1.131000;1.120000
Unit #TM001488U;1.233000;0.550000;0.544000
Unit #UB001226H;1.235000;1.011000;1.002000
Unit #QU000372I;1.236000;1.008000;0.998000
Unit #GV001308I;1.238000;0.517000;0.512000
Unit #UA001425I;1.239000;0.823000;0.814000
Unit #AT000764B;1.241000;0.950000;0.941000
Unit #FG001549T;1.242000;1.167000;1.155000
Unit #SQ001237V;1.242000;1.148000;1.137000
Unit #BW000135J;1.243000;0.514000;0.509000
Unit #JF001419H;1.243000;0.769000;0.761000
Unit #ZC000078P;1.243000;1.179000;1.167000
Unit #VC000184J;1.244000;0.912000;0.904000
